aten_op,failed,has_sharding,has_decomp,fully_coverable,decomp_ops,blocking_ops,blocking_reasons
aten._adaptive_avg_pool2d.default,False,False,True,False,aten.add.Tensor;aten.arange.default;aten.div.Tensor;aten.div.Tensor_mode;aten.ge.Tensor;aten.index.Tensor;aten.masked_fill.Scalar;aten.minimum.default;aten.mul.Tensor;aten.scalar_tensor.default;aten.select.int;aten.sub.Tensor;aten.unsqueeze.default,aten.arange.default;aten.scalar_tensor.default,aten.arange.default:decomp_but_untraced;aten.scalar_tensor.default:no_decomp
aten._adaptive_avg_pool3d.default,False,False,False,False,,,
aten._batch_norm_with_update.default,False,False,True,False,aten.add.Tensor;aten.copy_.default;aten.empty.memory_format;aten.mul.Tensor;aten.rsqrt.default;aten.squeeze.dims;aten.sub.Tensor;aten.unsqueeze.default;aten.var_mean.correction,aten.empty.memory_format;aten.squeeze.dims;aten.var_mean.correction,aten.var_mean.correction:blocked_by_3_ops;aten.empty.memory_format:no_decomp;aten.squeeze.dims:blocked_by_1_ops
aten._cdist_forward.default,False,False,False,False,,,
aten._chunk_cat.default,False,False,True,False,,,
aten._conj.default,False,True,False,True,,,
aten._embedding_bag_forward_only.default,False,False,False,False,,,
aten._fft_c2c.default,False,False,False,False,,,
aten._fft_c2r.default,False,False,False,False,,,
aten._fft_r2c.default,False,False,False,False,,,
aten._histogramdd_from_bin_cts.default,False,False,False,False,,,
aten._linalg_det.default,False,False,False,False,,,
aten._linalg_slogdet.default,False,False,False,False,,,
aten._linalg_svd.default,False,True,False,True,,,
aten._local_scalar_dense.default,False,True,False,True,,,
aten._log_softmax.default,False,True,True,True,,,
aten._native_batch_norm_legit.default,False,False,True,False,aten.add.Tensor;aten.copy_.default;aten.mul.Tensor;aten.rsqrt.default;aten.squeeze.dims;aten.sub.Tensor;aten.unsqueeze.default;aten.var_mean.correction,aten.squeeze.dims;aten.var_mean.correction,aten.var_mean.correction:blocked_by_3_ops;aten.squeeze.dims:blocked_by_1_ops
aten._pdist_forward.default,False,False,False,False,,,
aten._prelu_kernel.default,False,False,True,True,aten.gt.Scalar;aten.mul.Tensor;aten.where.self,,
aten._safe_softmax.default,False,True,True,True,,,
aten._scaled_mm.default,False,True,False,True,,,
aten._softmax_backward_data.default,False,True,True,True,,,
aten._softmax.default,False,True,True,True,,,
aten._to_copy.default,False,True,True,True,,,
aten._unique2.default,False,False,False,False,,,
aten._unsafe_masked_index_put_accumulate.default,False,False,True,False,,,
aten._unsafe_masked_index.default,False,False,True,False,,,
aten._unsafe_view.default,False,True,True,True,,,
aten._upsample_bilinear2d_aa.default,False,False,False,False,,,
aten._upsample_nearest_exact1d.default,False,False,True,False,aten._to_copy.default;aten._unsafe_index.Tensor;aten.add.Tensor;aten.arange.default;aten.mul.Tensor,aten._unsafe_index.Tensor;aten.arange.default,aten._unsafe_index.Tensor:decomp_but_untraced;aten.arange.default:decomp_but_untraced
aten.abs.default,False,True,True,True,,,
aten.acos.default,False,True,True,True,,,
aten.acosh.default,False,True,True,True,,,
aten.adaptive_max_pool2d.default,False,False,False,False,,,
aten.adaptive_max_pool3d.default,False,False,False,False,,,
aten.add_.Tensor,False,True,True,True,,,
aten.add.Tensor,False,True,True,True,,,
aten.addbmm.default,False,False,False,False,,,
aten.addcdiv.default,False,True,True,True,,,
aten.addcmul.default,False,True,True,True,,,
aten.addmm.default,False,True,True,True,,,
aten.addmv.default,False,False,True,True,aten.add.Tensor;aten.mul.Tensor;aten.mv.default,,
aten.addr.default,False,False,True,True,aten.add.Tensor;aten.expand.default;aten.mul.Tensor;aten.view.default,,
aten.alias_copy.default,False,False,True,True,aten.alias.default;aten.clone.default,,
aten.all.default,False,True,True,True,,,
aten.allclose.default,False,False,False,False,,,
aten.amax.default,False,True,True,True,,,
aten.amin.default,False,True,True,True,,,
aten.aminmax.default,False,False,True,True,aten.amax.default;aten.amin.default,,
aten.angle.default,False,True,False,True,,,
aten.any.default,False,True,True,True,,,
aten.arange.start_step,False,False,True,False,prims.iota.default,prims.iota.default,prims.iota.default:no_decomp
aten.argmax.default,False,True,False,True,,,
aten.argmin.default,False,True,False,True,,,
aten.as_strided_copy.default,False,False,True,False,aten.as_strided.default;aten.clone.default,aten.as_strided.default,aten.as_strided.default:no_decomp
aten.as_strided_scatter.default,False,False,True,False,prims.as_strided_scatter.default,prims.as_strided_scatter.default,prims.as_strided_scatter.default:no_decomp
aten.as_strided.default,False,False,False,False,,,
aten.asin.default,False,True,True,True,,,
aten.asinh.default,False,True,True,True,,,
aten.atan.default,False,True,True,True,,,
aten.atan2.default,False,True,True,True,,,
aten.atanh.default,False,True,True,True,,,
aten.avg_pool2d.default,False,False,False,False,,,
aten.avg_pool3d.default,False,False,False,False,,,
aten.baddbmm.default,False,True,True,True,,,
aten.bernoulli.default,False,True,True,True,,,
aten.binary_cross_entropy_with_logits.default,False,False,True,True,aten.log_sigmoid_forward.default;aten.mean.default;aten.mul.Tensor;aten.rsub.Scalar;aten.sub.Tensor,,
aten.binary_cross_entropy.default,False,False,True,True,aten.log.default;aten.log1p.default;aten.maximum.default;aten.mean.default;aten.mul.Tensor;aten.neg.default;aten.new_full.default;aten.sub.Tensor,,
aten.bincount.default,False,False,False,False,,,
aten.bitwise_and.Tensor,False,True,True,True,,,
aten.bitwise_left_shift.Tensor,False,True,True,True,,,
aten.bitwise_not.default,False,True,True,True,,,
aten.bitwise_or_.Tensor,False,True,True,True,,,
aten.bitwise_or.Tensor,False,True,True,True,,,
aten.bitwise_right_shift.Tensor,False,True,True,True,,,
aten.bitwise_xor.Tensor,False,True,True,True,,,
aten.block_diag.default,False,False,True,False,,,
aten.bmm.default,False,True,False,True,,,
aten.bucketize.Tensor,False,True,True,True,,,
aten.cat.default,False,True,True,True,,,
aten.cauchy_.default,False,False,True,True,aten.add.Tensor;aten.copy_.default;aten.mul.Tensor;aten.rand_like.default;aten.sub.Tensor;aten.tan.default,,
aten.ceil.default,False,True,True,True,,,
aten.celu.default,False,False,True,True,aten.expm1.default;aten.gt.Scalar;aten.where.self,,
aten.channel_shuffle.default,False,False,True,True,aten._unsafe_view.default;aten.clone.default;aten.transpose.int;aten.view.default,,
aten.clamp_max.Tensor,False,True,True,True,,,
aten.clamp_min.Tensor,False,True,True,True,,,
aten.clamp.Tensor,False,True,True,True,,,
aten.clone.default,False,True,True,True,,,
aten.complex.default,False,False,True,True,aten.copy_.default;aten.new_empty.default;aten.select.int;aten.view_as_real.default,,
aten.constant_pad_nd.default,False,True,True,True,,,
aten.convolution.default,False,True,False,True,,,
aten.copy_.default,False,True,False,True,,,
aten.copysign.Tensor,False,True,True,True,,,
aten.cos.default,False,True,True,True,,,
aten.cosh.default,False,True,True,True,,,
aten.count_nonzero.default,False,False,True,True,aten.ne.Scalar;aten.sum.dim_IntList,,
aten.cummax.default,False,False,False,False,,,
aten.cummin.default,False,False,False,False,,,
aten.cumprod.default,False,False,True,False,aten.arange.default;aten.le.Tensor;aten.scalar_tensor.default;aten.unsqueeze.default;aten.where.self;prims.prod.default,aten.arange.default;aten.scalar_tensor.default;prims.prod.default,prims.prod.default:no_decomp;aten.arange.default:decomp_but_untraced;aten.scalar_tensor.default:no_decomp
aten.cumsum.default,False,True,True,True,,,
aten.deg2rad.default,False,True,True,True,,,
aten.diag_embed.default,False,True,True,True,,,
aten.diagonal_copy.default,False,True,True,True,,,
aten.diagonal_scatter.default,False,False,True,False,aten.as_strided.default;aten.clone.default;aten.diagonal.default;prims.copy_to.default,aten.as_strided.default;prims.copy_to.default,prims.copy_to.default:no_decomp;aten.as_strided.default:no_decomp
aten.diagonal.default,False,True,True,True,,,
aten.digamma.default,False,True,True,True,,,
aten.dist.default,False,False,True,False,aten.norm.Scalar;aten.sub.Tensor,aten.norm.Scalar,aten.norm.Scalar:decomp_but_untraced
aten.div.Scalar,False,True,True,True,,,
aten.div.Tensor,False,True,True,True,,,
aten.div.Tensor_mode,False,True,True,True,,,
aten.dot.default,False,True,True,True,,,
aten.elu.default,False,False,True,True,aten.expm1.default;aten.gt.Scalar;aten.mul.Tensor;aten.where.self,,
aten.embedding.default,False,True,True,True,,,
aten.empty_like.default,False,True,True,True,,,
aten.empty_permuted.default,False,False,False,False,,,
aten.empty_strided.default,False,False,True,False,prims.empty_strided.default,prims.empty_strided.default,prims.empty_strided.default:no_decomp
aten.empty.memory_format,False,False,False,False,,,
aten.eq.Tensor,False,True,True,True,,,
aten.equal.default,False,True,False,True,,,
aten.erf.default,False,True,True,True,,,
aten.erfc.default,False,True,True,True,,,
aten.erfinv.default,False,True,True,True,,,
aten.exp.default,False,True,True,True,,,
aten.exp2.default,False,True,True,True,,,
aten.expand_copy.default,False,False,True,True,aten.clone.default;aten.expand.default,,
aten.expand.default,False,True,True,True,,,
aten.expm1.default,False,True,True,True,,,
aten.exponential_.default,False,False,True,False,aten.copy_.default;aten.ge.Scalar;aten.log.default;aten.mul.Tensor;aten.rand_like.default;aten.scalar_tensor.default;aten.where.self,aten.scalar_tensor.default,aten.scalar_tensor.default:no_decomp
aten.eye.default,False,False,True,False,aten._to_copy.default;aten.arange.default;aten.eq.Tensor;aten.unsqueeze.default,aten.arange.default,aten.arange.default:decomp_but_untraced
aten.fill.Scalar,False,False,True,True,aten.full_like.default,,
aten.flip.default,False,False,True,False,prims.rev.default,prims.rev.default,prims.rev.default:no_decomp
aten.floor_divide.default,False,False,True,True,aten.div.Tensor_mode,,
aten.floor.default,False,True,True,True,,,
aten.fmax.default,False,False,True,False,prims.fmax.default,prims.fmax.default,prims.fmax.default:no_decomp
aten.fmin.default,False,False,True,False,prims.fmin.default,prims.fmin.default,prims.fmin.default:no_decomp
aten.fmod.Tensor,False,True,True,True,,,
aten.frac.default,False,True,True,True,,,
aten.fractional_max_pool2d.default,False,False,False,False,,,
aten.fractional_max_pool3d.default,False,False,False,False,,,
aten.frexp.Tensor,False,False,True,False,prims.frexp.default,prims.frexp.default,prims.frexp.default:no_decomp
aten.full_like.default,False,True,False,True,,,
aten.full.default,False,False,True,False,aten.empty_strided.default;aten.fill.Scalar,aten.empty_strided.default,aten.empty_strided.default:blocked_by_1_ops
aten.gather.default,False,True,False,True,,,
aten.gcd.default,False,False,True,False,prims.gcd.default,prims.gcd.default,prims.gcd.default:no_decomp
aten.ge.Tensor,False,True,True,True,,,
aten.gelu.default,False,True,True,True,,,
aten.geometric_.default,False,False,True,True,aten.add.Tensor;aten.copy_.default;aten.div.Tensor;aten.floor.default;aten.log1p.default;aten.neg.default;aten.rand_like.default,,
aten.glu.default,False,False,True,True,aten.mul.Tensor;aten.sigmoid.default;aten.slice.Tensor,,
aten.grid_sampler_2d.default,False,False,True,False,aten._to_copy.default;aten.add.Tensor;aten.arange.default;aten.expand.default;aten.floor.default;aten.ge.Scalar;aten.index.Tensor;aten.logical_and.default;aten.lt.Scalar;aten.mul.Tensor;aten.scalar_tensor.default;aten.select.int;aten.sub.Tensor;aten.view.default;aten.where.self,aten.arange.default;aten.scalar_tensor.default,aten.arange.default:decomp_but_untraced;aten.scalar_tensor.default:no_decomp
aten.grid_sampler_3d.default,False,False,False,False,,,
aten.gt.Tensor,False,True,True,True,,,
aten.hardshrink.default,False,False,True,False,aten.abs.default;aten.le.Scalar;aten.scalar_tensor.default;aten.where.self,aten.scalar_tensor.default,aten.scalar_tensor.default:no_decomp
aten.hardsigmoid.default,False,False,True,True,aten.add.Tensor;aten.clamp.default;aten.div.Tensor,,
aten.hardswish.default,False,False,True,True,aten.add.Tensor;aten.clamp.default;aten.div.Tensor;aten.mul.Tensor,,
aten.hardtanh.default,False,False,True,True,aten.clamp.default,,
aten.hash_tensor.default,False,False,False,False,,,
aten.heaviside.default,False,False,True,False,aten.eq.Scalar;aten.isnan.default;aten.logical_or.default;aten.lt.Scalar;aten.scalar_tensor.default;aten.where.self,aten.scalar_tensor.default,aten.scalar_tensor.default:no_decomp
aten.histc.default,False,True,False,True,,,
aten.histogram.bin_ct,False,False,False,False,,,
aten.huber_loss.default,False,False,True,True,aten.abs.default;aten.lt.Scalar;aten.mul.Tensor;aten.sub.Tensor;aten.where.self,,
aten.hypot.default,False,True,True,True,,,
aten.i0.default,False,True,True,True,,,
aten.igamma.default,False,True,True,True,,,
aten.igammac.default,False,True,True,True,,,
aten.im2col.default,False,False,True,False,aten.add.Tensor;aten.arange.start_step;aten.constant_pad_nd.default;aten.index.Tensor;aten.permute.default;aten.unsqueeze.default;aten.view.default,aten.arange.start_step,aten.arange.start_step:blocked_by_1_ops
aten.index_add.default,False,False,True,True,aten.index_put.default;aten.squeeze.dim;aten.unsqueeze.default,,
aten.index_copy.default,False,False,True,True,aten.index_put.default;aten.squeeze.dim;aten.unsqueeze.default,,
aten.index_fill.int_Scalar,False,False,True,False,aten.clone.default;aten.expand.default;aten.index_copy.default;aten.scalar_tensor.default;aten.squeeze.dim;aten.unsqueeze.default,aten.scalar_tensor.default,aten.scalar_tensor.default:no_decomp
aten.index_put.default,False,True,False,True,,,
aten.index_reduce.default,False,False,False,False,,,
aten.index_select.default,False,True,True,True,,,
aten.index.Tensor,False,True,False,True,,,
aten.isin.Tensor_Tensor,False,False,True,False,aten.any.dims;aten.eq.Tensor;aten.view.default,aten.any.dims,aten.any.dims:decomp_but_untraced
aten.isinf.default,False,True,True,True,,,
aten.isnan.default,False,True,True,True,,,
aten.isneginf.default,False,True,True,True,,,
aten.isposinf.default,False,True,True,True,,,
aten.kthvalue.default,False,False,False,False,,,
aten.lcm.default,False,False,True,False,aten.abs.default;aten.eq.Scalar;aten.gcd.default;aten.mul.Tensor;aten.scalar_tensor.default;aten.where.self;prims.div.default,aten.gcd.default;aten.scalar_tensor.default;prims.div.default,prims.div.default:no_decomp;aten.gcd.default:blocked_by_1_ops;aten.scalar_tensor.default:no_decomp
aten.le.Tensor,False,True,True,True,,,
aten.leaky_relu.default,False,False,True,True,aten.gt.Scalar;aten.mul.Tensor;aten.where.self,,
aten.lerp.Scalar,False,True,True,True,,,
aten.lgamma.default,False,True,True,True,,,
aten.linalg_cross.default,False,False,True,False,aten.add.Tensor;aten.arange.default;aten.index_select.default;aten.mul.Tensor;aten.remainder.Scalar;aten.sub.Tensor,aten.arange.default,aten.arange.default:decomp_but_untraced
aten.linalg_matrix_exp.default,False,False,False,False,,,
aten.linalg_vector_norm.default,False,True,True,True,,,
aten.linspace.default,False,False,True,False,aten.full.default,aten.full.default,aten.full.default:blocked_by_1_ops
aten.linspace.Tensor_Tensor,False,False,True,False,aten._to_copy.default;aten.full.default,aten.full.default,aten.full.default:blocked_by_1_ops
aten.log_normal_.default,False,False,True,True,aten.add.Tensor;aten.copy_.default;aten.exp.default;aten.mul.Tensor;aten.randn_like.default,,
aten.log_sigmoid_forward.default,False,False,True,True,aten.abs.default;aten.exp.default;aten.log1p.default;aten.minimum.default;aten.neg.default;aten.new_zeros.default;aten.sub.Tensor,,
aten.log.default,False,True,True,True,,,
aten.log10.default,False,True,True,True,,,
aten.log1p.default,False,True,True,True,,,
aten.log2.default,False,True,True,True,,,
aten.logaddexp.default,False,True,True,True,,,
aten.logaddexp2.default,False,True,True,True,,,
aten.logcumsumexp.default,False,False,False,False,,,
aten.logical_and.default,False,True,True,True,,,
aten.logical_not.default,False,True,True,True,,,
aten.logical_or.default,False,True,True,True,,,
aten.logical_xor.default,False,True,True,True,,,
aten.logit.default,False,True,True,True,,,
aten.logspace.default,False,False,True,False,aten._to_copy.default;aten.linspace.default;aten.pow.Scalar,aten.linspace.default,aten.linspace.default:blocked_by_1_ops
aten.logspace.Tensor_Tensor,False,False,True,False,aten._to_copy.default;aten.linspace.Tensor_Tensor;aten.pow.Scalar,aten.linspace.Tensor_Tensor,aten.linspace.Tensor_Tensor:blocked_by_1_ops
aten.logsumexp.default,False,True,True,True,,,
aten.lt.Tensor,False,True,True,True,,,
aten.masked_fill.Scalar,False,True,True,True,,,
aten.masked_scatter.default,False,False,False,False,,,
aten.masked_select.default,False,False,False,False,,,
aten.max_pool2d_with_indices_backward.default,False,False,False,False,,,
aten.max_pool2d_with_indices.default,False,False,False,False,,,
aten.max_pool3d_with_indices.default,False,False,False,False,,,
aten.max_unpool2d.default,False,False,True,False,aten._unsafe_index_put.default;aten.add.Tensor;aten.arange.default;aten.mul.Tensor;aten.new_zeros.default;aten.view.default,aten._unsafe_index_put.default;aten.arange.default,aten._unsafe_index_put.default:decomp_but_untraced;aten.arange.default:decomp_but_untraced
aten.max_unpool3d.default,False,False,True,False,aten._unsafe_index_put.default;aten.add.Tensor;aten.arange.default;aten.mul.Tensor;aten.new_zeros.default;aten.view.default,aten._unsafe_index_put.default;aten.arange.default,aten._unsafe_index_put.default:decomp_but_untraced;aten.arange.default:decomp_but_untraced
aten.max.default,False,True,False,True,,,
aten.max.dim,False,True,False,True,,,
aten.maximum.default,False,True,True,True,,,
aten.mean.default,False,True,True,True,,,
aten.median.default,False,False,False,False,,,
aten.min.default,False,True,False,True,,,
aten.min.dim,False,True,False,True,,,
aten.minimum.default,False,True,True,True,,,
aten.mish.default,False,False,True,True,aten.mul.Tensor;aten.softplus.default;aten.tanh.default,,
aten.mm.default,False,True,False,True,,,
aten.mode.default,False,False,False,False,,,
aten.mse_loss.default,False,False,True,True,aten.mean.default;aten.pow.Tensor_Scalar;aten.sub.Tensor,,
